1,2,1,l-5144
1,6,1,l-5251
1,10,1,I-5356
1,4,1,I-5480
1,8,1,I-5584
1,12,1,I-5686
1,28,1,I-6160
1,32,1,I-6270
1,36,1,I-6376
1,30,1,I-6489
1,34,1,I-6593
1,38,1,I-6696
1,20,2,I-3121
1,23,2,I-3227
1,25,2,I-3333
1,21,2,I-3446
1,24,2,I-3558
1,26,2,I-3667
1,13,3,I-7117
1,15,3,I-7220
1,17,3,I-7327
1,14,3,I-7439
1,16,3,I-7544
1,18,3,I-7658
1,2,3,I-8133
1,6,3,I-8242
1,10,3,I-8346
1,4,3,I-8467
1,8,3,I-8578
1,12,3,I-8682
1,28,3,I-9151
1,32,3,I-9254
1,36,3,I-9360
1,30,3,I-9484
1,34,3,I-9585
1,38,3,I-9689
1,,110,
1,,111,
2,19,4,D-4100
2,22,4,D-4200
2,19,5,D-1200
2,22,5,D-1300
2,19,6,D-4310
2,22,6,D-4420
2,1,7,D-5144
2,5,7,D-5251
2,9,7,D-5356
2,3,7,D-5480
2,7,7,D-5484
2,11,7,D-5686
2,27,7,D-6160
2,31,7,D-6270
2,35,7,D-6376
2,29,7,D-6489
2,33,7,D-6593
2,37,7,D-6696
2,20,8,D-3121
2,23,8,D-3227
2,25,8,D-3333
2,21,8,D-3446
2,24,8,D-3558
2,26,8,D-3667
2,13,3,D-7117
2,15,3,D-7220
2,17,3,D-7327
2,14,3,D-7439
2,16,3,D-7544
2,18,3,D-7658
2,2,3,D-8133
2,6,3,D-8242
2,10,3,D-8346
2,4,3,D-8467
2,8,3,D-8578
2,12,3,D-8682
2,28,3,D-9151
2,32,3,D-9254
2,36,3,D-9360
2,30,3,D-9484
2,34,3,D-9585
2,38,3,D-9689
3,,9,C 01
3,,10,C 02
3,,11,C 03
3,,12,C 04
3,,13,C 05
3,,14,C 06
3,,15,C 07
3,,16,C 08
3,,17,C 09
3,,18,C 10
3,,19,C 11
3,,20,C 12
3,,21,C 13
3,,22,C 14
3,,23,C 15
3,,24,C 16
3,,25,C 17
3,,26,C 18
3,,27,C 19
3,,28,C 20
3,,29,C 21
3,,30,C 22
3,,31,C 23
3,,32,C 24
3,,33,C 25
3,,34,C 26
3,,35,C 27
3,,36,C 28
3,,37,C 29
3,,38,C 30
3,,39,C 31
3,,40,C 32
3,,41,C 33
3,,42,C 34
3,,43,C 35
3,,44,C 36
3,,45,C 37
3,,46,C 38
3,,47,C 39
3,,48,C 40
3,,49,C 41
3,,50,C 42
3,,51,C 43
3,,52,C 44
3,,53,C 45
3,,54,C 46
3,,55,C 47
3,,56,C 48
3,,57,C 49
3,,58,C 50
3,,59,C 51
3,,60,C 52
3,,61,C 54
3,,62,C 55
3,,63,C 56
3,,64,C 57
3,,65,C 58
3,,66,C 59
3,,67,C 60
3,,68,C 61
3,,69,C 62
3,,70,C 65
3,,71,C 66
3,,72,C 67
3,,73,C 68
3,,74,C 69
3,,75,C 70
3,,76,C 71
3,,77,C 72
3,,78,C 73
3,,79,C 74
3,,80,C 75
3,,81,C 76
3,,82,C 77
3,,83,C 79
3,,84,C 80
3,,85,C 81
3,,86,C 81
3,,87,C 82
3,,88,C 83
3,,89,C 85
3,,90,C 86
3,,91,C 87
3,,92,C 89
3,,93,C 90
3,,94,C 91
3,,95,C 92
3,,96,C 94
3,,97,C 95
3,,98,C 96
3,,99,C 97
3,,100,C 98
3,,101,C 99
3,,102,RC 01
3,,103,RC 02
3,,104,RC 04
3,,105,RC 05
3,,106,RC 06
3,,107,RC 07
3,,108,RC 08
3,,109,RC 00
1,,112,
