id, roleingroup_id, action_id, controller_id
1, 1, 1, 1
2, 1, 2, 1
3, 1, 3, 1
4, 1, 4, 1
5, 1, 5, 1
6, 1, 6, 1
7, 1, 7, 1
8, 1, 8, 1
9, 1, 9, 1
10, 1, 10, 1
11, 1, 11, 1
12, 1, 1, 2
13, 1, 2, 2
14, 1, 3, 2
15, 1, 4, 2
16, 1, 5, 2
17, 1, 6, 2
18, 1, 7, 2
19, 1, 8, 2
20, 1, 9, 2
21, 1, 10, 2
22, 2, 1, 1
23, 2, 2, 1
24, 2, 3, 1
25, 2, 4, 1
26, 2, 5, 1
27, 2, 6, 1
28, 2, 7, 1
29, 2, 8, 1
30, 2, 9, 1
31, 2, 10, 1
32, 2, 1, 2
33, 2, 2, 2
34, 2, 3, 2
35, 2, 4, 2
36, 2, 5, 2
37, 2, 6, 2
38, 2, 7, 2
39, 2, 8, 2
40, 2, 9, 2
41, 2, 10, 2
42, 2, 11, 2
43, 3, 1, 1
44, 3, 2, 1
45, 3, 3, 1
46, 3, 4, 1
47, 3, 5, 1
48, 3, 6, 1
49, 3, 7, 1
50, 3, 8, 1
51, 3, 9, 1
52, 3, 10, 1
53, 3, 1, 2
54, 3, 2, 2
55, 3, 3, 2
56, 3, 4, 2
57, 3, 5, 2
58, 3, 6, 2
59, 3, 7, 2
60, 3, 8, 2
61, 3, 9, 2
62, 3, 10, 2
63, 3, 11, 2
