id, name
1, Investigador
2, Ayudante de investigador
3, Técnico académico
4, Profesor de asignatura
5, Ayudante de profesor de asignatura
6, Profesor de carrera de enseñanza media superior
7, Profesor de carrera
8, Ayudante de profesor
9, Abogado Auxiliar
10, Abogado General
11, Administrador Técnico
12, Arquitecto Residente
13, Arquitecto Proyectista
14, Director de Orquesta
15, Asesor
16, Asesor Contable
17, Auditor Interno
18, Auxiliar de Jefe de Departamento
19, Ayudante de Director
20, Ayudante de Unidad Administrativa
21, Auditor B
22, Cajero General
23, Cajero Auxiliar
24, Consejero
25, Auditor A
26, Auditor BB
27, Auditor AA
28, Contador
29, Contador Auxiliar
30, Contador General
31, Productor
32, Asistente de Productor
33, Reportero
34, Coordinador
35, Coordinador de Bibliotecas
36, Coordinador de Programa
37, Coordinador de Cursos
38, Subcoordinador
39, Delegado
40, Director
41, Secretario General
42, Director de Seminario
43, Director Auxiliar
44, Director General
45, Director Técnico
46, Director de Area de Investigación
47, Entrenador
48, Gerente
49, Ingeniero Ayudante
50, Ingeniero de Mantenimiento
51, Engeniero Electrónico
52, Coordinador de Proyectos
53, Ingeniero Residente
54, Subgerente
55, Jefe de Area
56, Jefe de Control
57, Jefe de Unidad
58, Jefe de Departamento
59, Jefe de Unidad Académica
60, Jefe de Departamento Técnico
61, Jefe de División
62, Jefe de Estación
63, Jefe de Mantenimiento de Laboratorio
64, Jefe de Proyectistas
65, Jefe de Publicaciones
66, Jefe de Carrera
67, Secretario de Servicios a la Comunidad
68, Jefe de Sección Académica
69, Jefe de Seminario
70, Jefe de Unidad Administrativa
71, Jefe de Vigilancia
72, Operador de Computadora
73, Pagador Auxiliar
74, Pagador General
75, Proyectista
76, Calculista
77, Rector
78, Residente
79, Consultor Precios
80, Secretario
81, Secretario Auxiliar
82, Secretario de Desarrollo Institucional
83, Secretario Administrativo
84, Asistente Ejecutivo
85, Secretario Partícular
86, Coordinador de Gestión
87, Secretario Académico
88, Secretario Técnico
89, Subcontador
90, Subcontador Auxiliar
91, Subdirector
92, Subauditor
93, Secretario de la Dirección
94, Secretario Adjunto
95, Secretario Privado
96, Subjefe de Departamento
97, Subjefe de División
98, Superintendente de Obras
99, Comprador
100, Asistente de Procesos
101, Tesorero
102, Capitan de Buques
103, Jefe de Máquinas de Buque
104, Primer Oficial Técnico Marino
105, Primer Oficial de Cubierta
106, Primero Oficial de Máquinas
107, Segundo Oficial de Cubierta
108, Segundo Oficial de Máquinas
109, Supervisor de Escuelas Incorporadas
110, Investigador emérito
111, Investigador posdoctoral
