id, administrative_key, jobpositiontype_id, jobpositionlevel_id, roleinjobposition_id
1, l-5144, 1, 2, 1
2, l-5251, 1, 6, 1
3, I-5356, 1, 10, 1
4, I-5480, 1, 4, 1
5, I-5584, 1, 8, 1
6, I-5686, 1, 12, 1
7, I-6160, 1, 28, 1
8, I-6270, 1, 32, 1
9, I-6376, 1, 36, 1
10, I-6489, 1, 30, 1
11, I-6593, 1, 34, 1
12, I-6696, 1, 38, 1
13, I-3121, 1, 20, 2
14, I-3227, 1, 23, 2
15, I-3333, 1, 25, 2
16, I-3446, 1, 21, 2
17, I-3558, 1, 24, 2
18, I-3667, 1, 26, 2
19, I-7117, 1, 13, 3
20, I-7220, 1, 15, 3
21, I-7327, 1, 17, 3
22, I-7439, 1, 14, 3
23, I-7544, 1, 16, 3
24, I-7658, 1, 18, 3
25, I-8133, 1, 2, 3
26, I-8242, 1, 6, 3
27, I-8346, 1, 10, 3
28, I-8467, 1, 4, 3
29, I-8578, 1, 8, 3
30, I-8682, 1, 12, 3
31, I-9151, 1, 28, 3
32, I-9254, 1, 32, 3
33, I-9360, 1, 36, 3
34, I-9484, 1, 30, 3
35, I-9585, 1, 34, 3
36, I-9689, 1, 38, 3
37, , 1, 110
38, , 1, 111
39, D-4100, 2, 19, 4
40, D-4200, 2, 22, 4
41, D-1200, 2, 19, 5
42, D-1300, 2, 22, 5
43, D-4310, 2, 19, 6
44, D-4420, 2, 22, 6
45, D-5144, 2, 1, 7
46, D-5251, 2, 5, 7
47, D-5356, 2, 9, 7
48, D-5480, 2, 3, 7
49, D-5484, 2, 7, 7
50, D-5686, 2, 11, 7
51, D-6160, 2, 27, 7
52, D-6270, 2, 31, 7
53, D-6376, 2, 35, 7
54, D-6489, 2, 29, 7
55, D-6593, 2, 33, 7
56, D-6696, 2, 37, 7
57, D-3121, 2, 20, 8
58, D-3227, 2, 23, 8
59, D-3333, 2, 25, 8
60, D-3446, 2, 21, 8
61, D-3558, 2, 24, 8
62, D-3667, 2, 26, 8
63, D-7117, 2, 13, 3
64, D-7220, 2, 15, 3
65, D-7327, 2, 17, 3
66, D-7439, 2, 14, 3
67, D-7544, 2, 16, 3
68, D-7658, 2, 18, 3
69, D-8133, 2, 2, 3
70, D-8242, 2, 6, 3
71, D-8346, 2, 10, 3
72, D-8467, 2, 4, 3
73, D-8578, 2, 8, 3
74, D-8682, 2, 12, 3
75, D-9151, 2, 28, 3
76, D-9254, 2, 32, 3
77, D-9360, 2, 36, 3
78, D-9484, 2, 30, 3
79, D-9585, 2, 34, 3
80, D-9689, 2, 38, 3
81, C 01, 3, 9
82, C 02, 3, 10
83, C 03, 3, 11
84, C 04, 3, 12
85, C 05, 3, 13
86, C 06, 3, 14
87, C 07, 3, 15
88, C 08, 3, 16
89, C 09, 3, 17
90, C 10, 3, 18
91, C 11, 3, 19
92, C 12, 3, 20
93, C 13, 3, 21
94, C 14, 3, 22
95, C 15, 3, 23
96, C 16, 3, 24
97, C 17, 3, 25
98, C 18, 3, 26
99, C 19, 3, 27
100, C 20, 3, 28
101, C 21, 3, 29
102, C 22, 3, 30
103, C 23, 3, 31
104, C 24, 3, 32
105, C 25, 3, 33
106, C 26, 3, 34
107, C 27, 3, 35
108, C 28, 3, 36
109, C 29, 3, 37
110, C 30, 3, 38
111, C 31, 3, 39
112, C 32, 3, 40
113, C 33, 3, 41
114, C 34, 3, 42
115, C 35, 3, 43
116, C 36, 3, 44
117, C 37, 3, 45
118, C 38, 3, 46
119, C 39, 3, 47
120, C 40, 3, 48
121, C 41, 3, 49
122, C 42, 3, 50
123, C 43, 3, 51
124, C 44, 3, 52
125, C 45, 3, 53
126, C 46, 3, 54
127, C 47, 3, 55
128, C 48, 3, 56
129, C 49, 3, 57
130, C 50, 3, 58
131, C 51, 3, 59
132, C 52, 3, 60
133, C 54, 3, 61
134, C 55, 3, 62
135, C 56, 3, 63
136, C 57, 3, 64
137, C 58, 3, 65
138, C 59, 3, 66
139, C 60, 3, 67
140, C 61, 3, 68
141, C 62, 3, 69
142, C 65, 3, 70
143, C 66, 3, 71
144, C 67, 3, 72
145, C 68, 3, 73
146, C 69, 3, 74
147, C 70, 3, 75
148, C 71, 3, 76
149, C 72, 3, 77
150, C 73, 3, 78
151, C 74, 3, 79
152, C 75, 3, 80
153, C 76, 3, 81
154, C 77, 3, 82
155, C 79, 3, 83
156, C 80, 3, 84
157, C 81, 3, 85
158, C 81, 3, 86
159, C 82, 3, 87
160, C 83, 3, 88
161, C 85, 3, 89
162, C 86, 3, 90
163, C 87, 3, 91
164, C 89, 3, 92
165, C 90, 3, 93
166, C 91, 3, 94
167, C 92, 3, 95
168, C 94, 3, 96
169, C 95, 3, 97
170, C 96, 3, 98
171, C 97, 3, 99
172, C 98, 3, 100
173, C 99, 3, 101
174, RC 01, 3, 102
175, RC 02, 3, 103
176, RC 04, 3, 104
177, RC 05, 3, 105
178, RC 06, 3, 106
179, RC 07, 3, 107
180, RC 08, 3, 108
181, RC 00, 3, 109
